duration,loss,accuracy,precision,recall,f1,true positives,true negative,false positives,false negatives
1200.2193558216095,0.15525040327050105,0.9434075630252101,0.6887739882668787,0.4011930962585428,0.5070453464114483,6927,217604,3130,10339
1174.3808772563934,0.13710730138846805,0.9488865546218488,0.7244960830912772,0.47671724777018415,0.5750515247842946,8231,217604,3130,9035
1199.1251709461212,0.13223808984020177,0.9510084033613445,0.7432737371984031,0.49600370670682264,0.5949701264415729,8564,217776,2958,8702
1191.0478665828705,0.12862938875535956,0.9522647058823529,0.7535422928295405,0.5082242557627707,0.6070353844557435,8775,217864,2870,8491
1195.017638683319,0.12800295158644684,0.9526470588235294,0.7580922865013774,0.5100196918799954,0.6097915656810471,8806,217924,2810,8460
1195.3446412086487,0.12758448394782404,0.9526848739495798,0.7555971737464885,0.5140739024672767,0.6118636473305069,8876,217863,2871,8390
1202.0620803833008,0.126129121462838,0.953172268907563,0.7596504623738016,0.5185914514073903,0.6163907341754723,8954,217901,2833,8312
1196.8361947536469,0.1260753611038212,0.9530462184873949,0.7588170306790176,0.5171435190547897,0.6150931698412152,8929,217896,2838,8337
1238.6216912269592,0.12318639244727728,0.9546008403361345,0.7673590995613672,0.5370091509324685,0.6318443558553954,9272,217923,2811,7994
1241.3124840259552,0.12325600511136175,0.9541806722689076,0.7670669241749937,0.5290744816402178,0.6262210796915167,9135,217960,2774,8131
